P_d,dbic,dbic_berv
19.0454,-4.864,-4.481
19.0741,-5.015,-4.421
19.1029,-5.152,-4.369
19.1317,-5.275,-4.332
19.1606,-5.382,-4.320
19.1895,-5.472,-4.341
19.2185,-5.545,-4.399
19.2475,-5.602,-4.495
19.2765,-5.641,-4.620
19.3056,-5.662,-4.756
19.3347,-5.662,-4.887
19.3639,-5.641,-4.994
19.3931,-5.594,-5.066
19.4224,-5.518,-5.096
19.4517,-5.405,-5.079
19.4811,-5.247,-5.011
19.5104,-5.033,-4.886
19.5399,-4.745,-4.698
19.5694,-4.365,-4.433
19.5989,-3.867,-4.076
19.6285,-3.222,-3.606
19.6581,-2.406,-3.007
19.6878,-1.407,-2.271
19.7175,-0.255,-1.420
19.7472,0.953,-0.533
19.7770,2.038,0.243
19.8068,2.781,0.728
19.8367,3.029,0.800
19.8667,2.778,0.474
19.8966,2.161,-0.118
19.9267,1.351,-0.821
19.9567,0.487,-1.521
19.9868,-0.345,-2.155
20.0170,-1.106,-2.699
20.0472,-1.785,-3.151
20.0775,-2.384,-3.515
20.1078,-2.909,-3.802
20.1381,-3.367,-4.018
20.1685,-3.765,-4.173
20.1989,-4.104,-4.274
20.2294,-4.385,-4.327
20.2599,-4.608,-4.343
20.2905,-4.773,-4.331
20.3211,-4.883,-4.300
20.3518,-4.944,-4.257
20.3825,-4.967,-4.202
20.4132,-4.960,-4.128
20.4440,-4.934,-4.020
20.4749,-4.894,-3.856
20.5058,-4.842,-3.616
